Keywords	Num genes
1,4-phenylenediamine allergic contact dermatitis	0
1-chloro-2,4-dinitrobenzene allergic contact dermatitis	0
2,4-dinitrophenyl allergic contact dermatitis	0
3-m syndrome	2
3-methylcrotonyl-coa carboxylase deficiency	0
3-methylglutaconic aciduria type 1	1
3-methylglutaconic aciduria type 3	1
3-methylglutaconic aciduria type 4	0
3-methylglutaconic aciduria type 5	1
3-methylglutaconic aciduria type ix	0
3-methylglutaconic aciduria type viii	0
3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia	0
3-methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome	1
3mc syndrome	3
3mc syndrome 1	1
3mc syndrome 2	2
3mc syndrome 3	0
3p- syndrome	0
4-tert-butylphenol allergic contact dermatitis	0
4-vinylcyclohexene dioxide respiratory allergy	0
46 xx gonadal dysgenesis	0
46 xy gonadal dysgenesis	0
aagenaes syndrome	0
aarskog syndrome	0
abacavir allergy	0
abcd syndrome	1
abdominal aortic aneurysm	0
abdominal obesity-metabolic syndrome 3	0
abducens nerve disease	0
abducens nerve neoplasm	0
abetalipoproteinemia	3
ablepharon macrostomia syndrome	0
abnormal retinal correspondence	0
abnormal threshold of rods	0
abnormality of glucagon secretion	0
acalculous cholecystitis	0
acanthocephaliasis	0
acantholytic acanthoma	0
acantholytic squamous cell skin carcinoma	0
acantholytic variant squamous cell breast carcinoma	0
acanthosis nigricans	6
acatalasia	0
accessory nerve disease	0
accommodative esotropia	0
accommodative spasm	0
aceruloplasminemia	1
achalasia	2
achalasia microcephaly syndrome	0
achard syndrome	0
acheiropody	1
achenbach syndrome	0
achilles bursitis	0
achondrogenesis type ia	1
achondrogenesis type ib	0
achondrogenesis type ii	1
achondroplasia	3
achromatopsia 2	1
achromatopsia 3	1
achromatopsia 4	1
achromatopsia 7	0
acid anhydride respiratory allergy	0
acidophil adenoma	0
acinar cell carcinoma	0
acinar cell cystadenocarcinoma	0
acinic cell breast carcinoma	0
acne	7
acneiform dermatitis	0
acoustic neuroma	0
acquired color blindness	0
acquired gastric outlet stenosis	0
acquired generalized lipodystrophy	0
acquired hemangioma	0
acquired hyperkeratosis	0
acquired immunodeficiency syndrome	1
acquired night blindness	0
acquired tear duct stenosis	0
acquired thrombocytopenia	0
acquired von willebrand syndrome	0
acral lentiginous melanoma	0
acrocallosal syndrome	1
acrocapitofemoral dysplasia	1
acrodermatitis chronica atrophicans	0
acrodermatitis enteropathica	1
acrodysostosis	3
acrofacial dysostosis cincinnati type	0
acrofacial dysostosis rodriguez type	0
