Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C0036341	schizophrenia	758	758	931
C0917816	mental deficiency	521	521	592
C0025362	mental retardation	521	521	592
C0557874	global developmental delay	495	495	543
C0014544	epilepsy	436	436	505
C0005586	bipolar disorder	381	381	471
C0011581	depressive disorder	303	303	377
C2315100	pediatric failure to thrive	297	297	341
C0028738	nystagmus	242	242	289
C1857130	hypoplastic mandible condyle	239	239	258
C0240295	mandibular hypoplasia	239	239	258
C0025990	micrognathism	239	239	258
C0700208	acquired scoliosis	229	229	257
C0038379	strabismus	225	225	252
C0004352	autistic disorder	220	220	256
C0018784	sensorineural hearing loss (disorder)	212	212	259
C2239176	liver carcinoma	208	208	223
C0010417	cryptorchidism	206	206	239
C0001973	alcoholic intoxication, chronic	206	206	274
C0028754	obesity	202	202	249
C1269683	major depressive disorder	199	199	240
C0041696	unipolar depression	196	196	236
C0011570	mental depression	193	193	248
C0005745	blepharoptosis	190	190	212
C0086543	cataract	185	185	230
C0240635	byzanthine arch palate	166	166	181
C0025202	melanoma	165	165	202
C0029124	optic atrophy	156	156	193
C0008925	cleft palate	153	153	178
C0013362	dysarthria	152	152	169
C0239234	low set ears	150	150	163
C0678230	congenital epicanthus	147	147	165
C0339789	congenital deafness	141	141	171
C0003873	rheumatoid arthritis	139	139	166
C0235946	cerebral atrophy	134	134	154
C0002871	anemia	134	134	145
C0029456	osteoporosis	131	131	151
C0042798	low vision	130	130	164
C0266435	congenital hypoplasia of penis	129	129	166
C0018801	heart failure	128	128	143
C2981150	uranostaphyloschisis	127	127	149
C0221354	frontal bossing	127	127	143
C0035334	retinitis pigmentosa	121	121	161
C0007134	renal cell carcinoma	120	120	132
C0011860	diabetes mellitus, non-insulin-dependent	118	118	133
C0234958	muscle degeneration	116	116	130
C0032460	polycystic ovary syndrome	115	115	142
C0023890	liver cirrhosis	112	112	127
C0023467	leukemia, myelocytic, acute	109	109	113
C1858085	malar flattening	107	107	120
C0007137	squamous cell carcinoma	102	102	111
C0221357	brachydactyly	100	100	114
C0029408	degenerative polyarthritis	98	98	110
C1850049	bilateral fifth finger clinodactyly	93	93	105
C0027051	myocardial infarction	93	93	98
C1845112	hyperkyphosis	91	91	103
C1691215	penile hypospadias	90	90	96
C0241210	speech delay	89	89	98
C0018777	conductive hearing loss	88	88	115
C0009081	congenital clubfoot	88	88	98
C0017601	glaucoma	87	87	115
C0020619	hypogonadism	86	86	117
C0027092	myopia	86	86	104
C0345967	malignant mesothelioma	86	86	99
C0003467	anxiety	84	84	95
C4020884	anxiety disease	84	84	95
C0919267	ovarian neoplasm	83	83	91
C0020255	hydrocephalus	83	83	100
C2051831	pectus excavatum	82	82	94
C0262404	cerebellar degeneration	81	81	92
C0740279	atrophy of cerebellum	81	81	92
C4020873	infratentorial atrophy	81	81	92
C4020871	dystonic disease	80	80	83
C0007194	hypertrophic cardiomyopathy	80	80	86
C0271215	blindness, legal	80	80	104
C0020615	hypoglycemia	79	79	91
C0004096	asthma	78	78	95
C0015300	exophthalmos	77	77	86
C4280808	abnormally small eyeball	76	76	92
C0029453	osteopenia	76	76	91
C0026010	microphthalmos	76	76	95
C0747078	generalized osteopenia	76	76	91
C1263846	attention deficit hyperactivity disorder	76	76	84
C4020860	supratentorial atrophy	75	75	87
C0009917	contracture	75	75	90
C0032285	pneumonia	75	75	86
C0152421	macrotia	75	75	80
C0338656	impaired cognition	75	75	87
C0683322	mental impairment	74	74	86
C0728829	congenital pes cavus	74	74	79
C0030297	pancreatic neoplasm	74	74	81
C0333068	flexion contracture	73	73	87
C0034069	pulmonary fibrosis	73	73	77
C1565489	renal insufficiency	73	73	81
C0007786	brain ischemia	73	73	75
C0009918	contracture of joint	73	73	87
C1850530	flexion contractures of joints	73	73	87
C1836830	developmental regression	72	72	84
C0002170	alopecia	72	72	84
C0038220	status epilepticus	72	72	80
C0221356	brachycephaly	69	69	80
C0002395	alzheimer's disease	69	69	77
C0017636	glioblastoma	68	68	70
C0036857	severe mental retardation (i.q. 20-34)	68	68	83
C0344482	hypoplasia of corpus callosum	68	68	78
C0020608	hypodontia	68	68	74
C0026034	microstomia	67	67	73
C1145670	respiratory failure	66	66	73
C0013274	patent ductus arteriosus	65	65	75
C0035078	kidney failure	64	64	70
C0259817	xerosis	64	64	71
C0175754	agenesis of corpus callosum	64	64	76
C0017638	glioma	63	63	68
C4280653	turridolichocephaly	62	62	70
C4280654	narrow skull shape	62	62	70
C4280656	narrow cranium shape	62	62	70
C4280655	narrow head shape	62	62	70
C0264133	acquired flat foot	62	62	69
C0011334	dental caries	62	62	68
C0221358	long narrow head	62	62	70
C0085605	liver failure	61	61	71
C2609414	acute kidney injury	61	61	70
C0085633	mood swings	61	61	71
C0017168	gastroesophageal reflux disease	61	61	69
C0008924	cleft lip	60	60	73
C0020459	hyperinsulinism	60	60	82
C0302501	mandibular hyperplasia	60	60	69
C0399526	class iii malocclusion	60	60	69
C1956346	coronary artery disease	59	59	68
C0349204	nonorganic psychosis	58	58	76
C0026106	mild mental retardation	57	57	64
C0008370	cholestasis	56	56	68
C0240310	hypoplasia of the maxilla	55	55	59
C0152013	adenocarcinoma of lung (disorder)	55	55	57
C0028077	night blindness	55	55	79
C0014306	enophthalmos	55	55	56
C0020295	hydronephrosis	54	54	64
C2267233	neonatal hypotonia	54	54	58
C0271623	hypogonadotropic hypogonadism	54	54	68
C3489396	hypogonadism, isolated hypogonadotropic	53	53	67
C0005744	blepharophimosis	52	52	54
C0018802	congestive heart failure	52	52	56
C0024433	macrostomia	52	52	62
C1510586	autism spectrum disorders	52	52	68
C0002878	anemia, hemolytic	52	52	53
C0240340	microdontia (disorder)	52	52	57
C0431478	posteriorly rotated ear	51	51	57
C0497327	dementia	51	51	57
C0024141	lupus erythematosus, systemic	50	50	58
C0575158	kyphoscoliosis deformity of spine	50	50	56
C0744641	intermittent migraine headaches	50	50	55
C0024636	malocclusion	50	50	54
C4280614	angle class 2 malocclusion	50	50	54
C1305420	prominent ear	49	49	52
C0003886	arthrogryposis	49	49	53
C0025995	micromelia	49	49	57
C0022596	palmoplantar keratosis	48	48	55
C0023418	leukemia	48	48	49
C0746926	multiple, subcutaneous nodules	47	47	49
C0221260	dystrophia unguium	46	46	52
