C0000744	abetalipoproteinemia
C0000889	acanthosis nigricans
C0001080	achondroplasia
C0001193	apert syndrome
C0001202	acrokeratosis
C0001206	acromegaly
C0001339	acute pancreatitis
C0001403	addison disease
C0001627	congenital adrenal hyperplasia
C0001768	agammaglobulinemia
C0001816	agnosia
C0001818	agoraphobia
C0001824	agranulocytosis
C0001916	albinism
C0001956	alcohol use disorder
C0001957	alcohol withdrawal delirium
C0001969	alcoholic intoxication
C0001973	alcoholic intoxication, chronic
C0002018	alexia
C0002066	alkaptonuria
C0002170	alopecia
C0002171	alopecia areata
C0002395	alzheimer's disease
C0002452	amelogenesis imperfecta
C0002726	amyloidosis
C0002736	amyotrophic lateral sclerosis
C0002768	congenital pain insensitivity
C0002871	anemia
C0002874	aplastic anemia
C0002875	cooley's anemia
C0002876	congenital dyserythropoietic anemia
C0002878	anemia, hemolytic
C0002880	autoimmune hemolytic anemia
C0002881	anemia, hemolytic, congenital
C0002884	hypochromic anemia
C0002886	anemia, macrocytic
C0002888	anemia, megaloblastic
C0002893	refractory anemias
C0002894	refractory anaemia with excess blasts
C0002895	anemia, sickle cell
C0002896	sideroblastic anemia
C0002902	anencephaly
C0002940	aneurysm
C0002949	aneurysm, dissecting
C0002982	angioid streaks
C0002985	angiokeratoma
C0002986	fabry disease
C0003028	anhidrosis
C0003076	aniridia
C0003119	anophthalmos
C0003123	anorexia
C0003466	anus, imperforate
C0003467	anxiety
C0003486	aortic aneurysm
C0003492	aortic coarctation
C0003499	supravalvular aortic stenosis
C0003504	aortic valve insufficiency
C0003507	aortic valve stenosis
C0003537	aphasia
C0003550	broca aphasia
C0003706	arachnodactyly
C0003742	arcus senilis
C0003803	arnold chiari malformation
C0003850	arteriosclerosis
C0003857	congenital arteriovenous malformation
C0003864	arthritis
C0003868	arthritis, gouty
C0003873	rheumatoid arthritis
C0003886	arthrogryposis
C0003892	neurogenic arthropathy
C0004045	asphyxia neonatorum
C0004096	asthma
C0004106	astigmatism
C0004114	astrocytoma
C0004135	ataxia telangiectasia
C0004153	atherosclerosis
C0004238	atrial fibrillation
C0004245	atrioventricular block
C0004352	autistic disorder
C0004509	azoospermia
C0004763	barrett esophagus
C0004779	basal cell nevus syndrome
C0004903	beckwith-wiedemann syndrome
C0004943	behcet syndrome
C0005129	bernard-soulier syndrome
C0005283	beta thalassemia
C0005411	biliary atresia
C0005426	biliary tract neoplasm
C0005586	bipolar disorder
C0005587	depression, bipolar
C0005684	malignant neoplasm of urinary bladder
C0005689	bladder exstrophy
C0005697	neurogenic urinary bladder
C0005741	blepharitis
C0005742	blepharochalasis
C0005744	blepharophimosis
C0005745	blepharoptosis
C0005747	blepharospasm
C0005754	congenital blindness
C0005859	bloom syndrome
C0005937	bone cysts
C0006105	brain abscess
C0006131	branchioma
C0006142	malignant neoplasm of breast
C0006267	bronchiectasis
C0006271	bronchiolitis
C0006281	congenital bronchogenic cyst
C0006384	bundle-branch block
C0006386	bunion
C0006413	burkitt lymphoma
C0006845	candidiasis, chronic mucocutaneous
C0006870	cannabis dependence
C0007102	malignant tumor of colon
C0007114	malignant neoplasm of skin
C0007117	basal cell carcinoma
C0007120	bronchioloalveolar adenocarcinoma
C0007134	renal cell carcinoma
C0007137	squamous cell carcinoma
C0007194	hypertrophic cardiomyopathy
C0007196	restrictive cardiomyopathy
C0007279	carotid body paraganglioma
C0007286	carpal tunnel syndrome
C0007384	cataplexy
C0007570	celiac disease
C0007786	brain ischemia
C0007789	cerebral palsy
C0007795	diffuse cerebral sclerosis of schilder
C0007965	chediak-higashi syndrome
C0007971	cheilitis
C0008029	cherubism
C0008297	choanal atresia
C0008311	cholangitis
C0008312	primary biliary cirrhosis
C0008325	cholecystitis
C0008350	cholelithiasis
C0008370	cholestasis
C0008372	intrahepatic cholestasis
C0008373	cholesteatoma
C0008384	cholesterol ester storage disease
C0008479	chondrosarcoma
C0008487	chordoma
C0008525	choroideremia
C0008533	hemophilia b
C0008677	bronchitis, chronic
C0008711	chronic rhinitis
C0008733	chylothorax
C0008924	cleft lip
C0008925	cleft palate
C0008928	cleidocranial dysplasia
C0009080	clubbed fingers
C0009081	congenital clubfoot
C0009171	cocaine abuse
C0009178	cocaine withdrawal
C0009319	colitis
C0009363	congenital ocular coloboma (disorder)
C0009447	common variable immunodeficiency
C0009451	communicating hydrocephalus
C0009681	anomalous pulmonary artery
C0009691	congenital cataract
C0009714	hepatic fibrosis, congenital
C0009763	conjunctivitis
C0009917	contracture
C0009918	contracture of joint
C0009952	febrile convulsions
C0010036	corneal dystrophy
C0010043	corneal ulcer
C0010054	coronary arteriosclerosis
C0010273	craniofacial dysostosis
C0010276	craniopharyngioma
C0010278	craniosynostosis
C0010308	congenital hypothyroidism
C0010314	cri-du-chat syndrome
C0010324	crigler najjar syndrome, type 1
C0010346	crohn disease
C0010417	cryptorchidism
C0010495	cutis laxa
C0010674	cystic fibrosis
C0010691	cystinuria
C0010930	dacryocystitis
C0010964	dandy-walker syndrome
C0011195	dejerine-sottas disease (disorder)
C0011206	delirium
C0011253	delusions
C0011334	dental caries
C0011351	dental enamel hypoplasia
C0011430	dentin dysplasia
C0011436	dentinogenesis imperfecta
C0011570	mental depression
C0011573	endogenous depression
C0011581	depressive disorder
C0011606	exfoliative dermatitis
C0011615	dermatitis, atopic
C0011644	scleroderma
C0011813	dextrocardia
C0011818	dextraposition of aorta
C0011848	diabetes insipidus
C0011854	diabetes mellitus, insulin-dependent
C0011859	lipoatrophic diabetes mellitus
C0011860	diabetes mellitus, non-insulin-dependent
C0011880	diabetic ketoacidosis
C0011981	diaphragmatic eventration
C0011989	camurati-engelmann syndrome
C0011998	diastema of teeth
C0012236	digeorge syndrome
C0012736	dissecting aortic aneurysm
C0012739	disseminated intravascular coagulation
C0012819	diverticular disease of colon
C0013069	double outlet right ventricle
C0013238	dry eye syndromes
C0013261	duane retraction syndrome
C0013264	muscular dystrophy, duchenne
C0013274	patent ductus arteriosus
C0013295	duodenal ulcer
C0013336	dwarfism
C0013338	pituitary dwarfism
C0013362	dysarthria
C0013363	dysautonomia
C0013364	dysautonomia, familial
C0013374	dysgammaglobulinemia
C0013377	dysgerminoma
C0013384	dyskinetic syndrome
C0013405	dyspnea, paroxysmal
C0013415	dysthymic disorder
