Drug name	DrugBankID	# genes in drugbank and network	# genes in drug DBs and network	# genes in network	# genes in total
copper	DB09130	125	125	210	244
nadh	DB00157	122	122	160	195
glutamic acid	DB00142	63	64	80	91
pyridoxal	DB00147	45	45	58	72
pyridoxal phosphate	DB00114	44	44	53	67
calcium	DB01373	40	40	1390	1972
glutathione	DB00143	34	34	81	94
ethanol	DB00898	31	35	160	197
adenine	DB00173	29	29	101	130
calcium citrate	DB11093	26	26	26	31
calcium phosphate	DB11348	26	26	35	42
flavin adenine dinucleotide	DB03147	24	24	54	67
resveratrol	DB02709	23	26	27	29
dasatinib	DB01254	23	51	51	51
glycine	DB00145	23	27	117	198
amitriptyline	DB00321	22	32	32	47
succinic acid	DB00139	20	20	20	26
l-aspartic acid	DB00128	19	22	22	23
loxapine	DB00408	19	21	21	38
adenosine	DB00640	18	22	79	104
zonisamide	DB00909	18	20	20	34
regorafenib	DB08896	18	18	18	19
amoxapine	DB00543	18	22	22	35
chlorpromazine	DB00477	17	42	43	57
imipramine	DB00458	17	22	23	34
quetiapine	DB01224	16	22	22	33
clozapine	DB00363	16	28	30	46
olanzapine	DB00334	16	22	22	38
cabergoline	DB00248	16	16	16	20
vitamin c	DB00126	16	17	19	27
ponatinib	DB08901	15	17	17	17
l-proline	DB00172	15	16	30	42
verapamil	DB00661	15	32	32	42
aripiprazole	DB01238	15	22	22	33
mirtazapine	DB00370	15	19	19	26
adenosine monophosphate	DB00131	15	16	19	24
cholic acid	DB02659	15	15	18	27
ziprasidone	DB00246	15	24	24	35
pergolide	DB01186	14	15	15	20
ellagic acid	DB08846	14	14	14	17
mianserin	DB06148	14	24	24	37
asenapine	DB06216	14	17	17	28
bromocriptine	DB01200	14	18	18	22
temazepam	DB00231	14	14	14	22
triazolam	DB00897	14	15	15	21
serine	DB00133	14	14	1008	1245
doxepin	DB01142	14	17	17	27
nitrazepam	DB01595	14	14	14	20
flurazepam	DB00690	13	13	13	19
halothane	DB01159	13	26	28	42
bromazepam	DB01558	13	13	13	19
iron	DB01592	13	13	344	457
dronedarone	DB04855	13	25	25	35
midazolam	DB00683	13	14	14	20
carvedilol	DB01136	13	23	23	29
oxazepam	DB00842	13	17	17	23
tretinoin	DB00755	13	17	17	23
dextromethorphan	DB00514	13	15	15	18
marimastat	DB00786	13	13	13	23
dalfampridine	DB06637	12	26	26	44
l-cysteine	DB00151	12	12	29	39
alvocidib	DB03496	12	14	14	14
apomorphine	DB00714	12	15	15	19
methotrimeprazine	DB01403	12	13	13	20
genistein	DB01645	12	16	18	19
theophylline	DB00277	12	16	16	19
glycerin	DB09462	12	14	14	15
paliperidone	DB01267	12	20	20	27
nortriptyline	DB00540	12	19	19	29
diazepam	DB00829	12	16	18	25
ergotamine	DB00696	12	14	14	19
pentobarbital	DB00312	11	23	23	28
patupilone	DB03010	11	11	11	11
acetylsalicylic acid	DB00945	11	15	15	16
l-alanine	DB00160	11	11	15	24
desipramine	DB01151	11	21	22	31
clotiazepam	DB01559	11	14	14	20
halazepam	DB00801	11	13	13	19
cinolazepam	DB01594	11	12	12	17
pethidine	DB00454	11	14	14	15
estazolam	DB01215	11	14	14	20
prazepam	DB01588	11	13	13	19
epothilone d	DB01873	11	11	11	11
pramipexole	DB00413	11	11	12	18
fludiazepam	DB01567	11	11	11	16
prasterone	DB01708	11	11	11	12
adinazolam	DB00546	11	14	14	19
lisuride	DB00589	11	17	17	24
trimipramine	DB00726	11	12	12	19
cannabidiol	DB09061	11	11	11	24
ropinirole	DB00268	11	13	13	18
galantamine	DB00674	11	11	11	20
lamotrigine	DB00555	10	17	17	27
secobarbital	DB00418	10	16	16	21
methylphenobarbital	DB00849	10	12	12	13
risperidone	DB00734	10	24	24	36
arsenic trioxide	DB01169	10	12	12	12
quazepam	DB01589	10	13	13	19
thiopental	DB00599	10	17	17	23
dopamine	DB00988	10	14	132	168
felodipine	DB01023	10	16	16	21
icosapent	DB00159	10	11	11	13
ketamine	DB01221	10	20	20	23
acetylcysteine	DB06151	10	11	11	11
bosutinib	DB06616	10	47	47	47
pseudoephedrine	DB00852	10	11	11	12
pazopanib	DB06589	10	33	33	33
nefazodone	DB01149	10	13	13	16
sorafenib	DB00398	10	32	32	33
vitamin a	DB00162	10	11	30	47
menadione	DB00170	10	13	19	24
nicardipine	DB00622	10	13	13	21
nintedanib	DB09079	10	37	37	37
propiomazine	DB00777	9	9	9	14
choline	DB00122	9	9	35	47
epinephrine	DB00668	9	11	42	52
primidone	DB00794	9	22	22	30
diethylstilbestrol	DB00255	9	31	31	36
heptabarbital	DB01354	9	9	9	10
troglitazone	DB00197	9	14	14	16
