Drug name	DrugBankID	# genes in drug DBs and network	# drugbank	# dgidb	# chembl	# drugcentral
copper	DB09130	125	125	0	0	0
nadh	DB00157	122	122	0	0	0
glutamic acid	DB00142	64	63	0	0	10
dasatinib	DB01254	51	23	21	14	33
metformin	DB00331	50	1	3	46	46
bosutinib	DB06616	47	10	19	4	33
vandetanib	DB05294	46	5	24	24	31
pyridoxal	DB00147	45	45	1	0	0
pyridoxal phosphate	DB00114	44	44	1	0	0
chlorpromazine	DB00477	42	17	12	4	34
tamoxifen	DB00675	41	9	6	1	32
calcium	DB01373	40	40	0	0	0
sunitinib	DB01268	39	8	11	9	38
bortezomib	DB00188	38	2	37	37	6
clotrimazole	DB00257	38	3	4	0	34
carfilzomib	DB08889	37	6	37	37	2
nintedanib	DB09079	37	10	9	9	37
miconazole	DB01110	36	8	1	0	28
imatinib	DB00619	36	7	12	3	31
ethanol	DB00898	35	31	5	0	4
topiramate	DB00273	35	7	30	29	21
nilotinib	DB04868	35	2	8	1	30
glutathione	DB00143	34	34	0	0	0
pazopanib	DB06589	33	10	9	11	29
verapamil	DB00661	32	15	13	3	18
amitriptyline	DB00321	32	22	6	2	19
sorafenib	DB00398	32	10	14	9	28
fluphenazine	DB00623	32	6	6	1	27
diethylstilbestrol	DB00255	31	9	2	1	24
guanidine	DB00536	29	4	0	25	25
econazole	DB01127	29	1	1	0	27
adenine	DB00173	29	29	0	0	1
clozapine	DB00363	28	16	18	2	19
haloperidol	DB00502	28	6	10	4	23
crizotinib	DB08865	28	2	2	2	28
astemizole	DB00637	28	3	2	0	27
amiodarone	DB01118	28	5	3	1	26
bepridil	DB01244	28	7	11	14	7
thioridazine	DB00679	28	6	11	5	24
glycine	DB00145	27	23	6	0	0
dalfampridine	DB06637	26	12	24	25	25
halothane	DB01159	26	13	17	13	13
resveratrol	DB02709	26	23	4	0	0
axitinib	DB06626	26	3	8	3	24
calcium citrate	DB11093	26	26	0	0	0
calcium phosphate	DB11348	26	26	0	0	0
dronedarone	DB04855	25	13	4	11	6
raloxifene	DB00481	25	4	3	1	22
ceritinib	DB09063	25	1	5	1	24
tedisamil	DB06200	24	0	24	0	0
risperidone	DB00734	24	10	13	3	18
mianserin	DB06148	24	14	9	0	19
paclitaxel	DB01229	24	6	16	15	12
flavin adenine dinucleotide	DB03147	24	24	0	0	0
erlotinib	DB00530	24	2	1	1	23
ziprasidone	DB00246	24	15	13	3	18
pentobarbital	DB00312	23	11	20	11	6
carvedilol	DB01136	23	13	4	5	16
yohimbine	DB01392	23	8	12	0	13
quetiapine	DB01224	22	16	9	3	18
primidone	DB00794	22	9	22	18	3
imipramine	DB00458	22	17	3	2	16
orphenadrine	DB01173	22	6	4	15	19
docetaxel	DB01248	22	6	3	15	11
adenosine	DB00640	22	18	6	3	5
aripiprazole	DB01238	22	15	5	3	18
l-aspartic acid	DB00128	22	19	3	0	0
cyproheptadine	DB00434	22	3	7	0	18
olanzapine	DB00334	22	16	16	5	17
amoxapine	DB00543	22	18	9	7	16
flunarizine	DB04841	22	2	2	0	21
pentoxifylline	DB00806	22	5	20	18	3
propofol	DB00818	22	4	16	11	11
desipramine	DB01151	21	11	5	1	17
nifedipine	DB01115	21	7	5	3	17
enflurane	DB00228	21	5	20	13	2
cinnarizine	DB00568	21	6	0	3	16
loxapine	DB00408	21	19	9	5	12
tubocurarine	DB01199	21	2	1	4	18
zotepine	DB09225	21	6	12	0	16
dobutamine	DB00841	21	3	2	2	20
propafenone	DB01182	21	4	5	9	14
gabapentin	DB00996	21	6	14	14	6
loperamide	DB00836	21	6	2	1	18
succinic acid	DB00139	20	20	1	0	0
dipyridamole	DB00975	20	5	18	17	13
ketamine	DB01221	20	10	4	7	11
zonisamide	DB00909	20	18	11	7	10
paliperidone	DB01267	20	12	5	2	16
promazine	DB00420	20	9	11	4	17
estradiol	DB00783	20	9	2	1	13
pimozide	DB01100	19	4	9	6	14
desflurane	DB01189	19	5	19	13	13
sevoflurane	DB01236	19	6	19	13	13
mirtazapine	DB00370	19	15	5	3	10
acamprosate	DB00659	19	2	2	18	10
promethazine	DB01069	19	5	1	0	18
nortriptyline	DB00540	19	12	3	2	15
isoflurane	DB00753	19	6	16	13	14
celecoxib	DB00482	18	4	4	1	15
phenobarbital	DB01174	18	7	14	0	3
bromocriptine	DB01200	18	14	12	3	15
iloperidone	DB04946	18	8	9	2	14
ibrutinib	DB09053	18	1	16	1	7
prochlorperazine	DB00433	18	1	5	1	17
midostaurin	DB06595	18	6	18	16	0
regorafenib	DB08896	18	18	16	16	2
podofilox	DB01179	18	3	1	0	17
alprazolam	DB00404	18	0	17	11	7
tg-100801	DB05075	18	4	16	16	0
terfenadine	DB00342	18	2	3	0	17
lamotrigine	DB00555	17	10	7	7	8
cocaine	DB00907	17	8	8	0	12
trifluoperazine	DB00831	17	6	6	5	12
ponatinib	DB08901	17	15	6	2	10
thiopental	DB00599	17	10	10	11	4
asenapine	DB06216	17	14	2	0	15
suramin	DB04786	17	3	3	1	11
sildenafil	DB00203	17	2	1	0	14
oxazepam	DB00842	17	13	17	11	3
sertindole	DB06144	17	8	13	6	12
tretinoin	DB00755	17	13	8	3	7
vinblastine	DB00570	17	4	2	15	9
lisuride	DB00589	17	11	13	0	14
fluoxetine	DB00472	17	4	4	1	15
vitamin c	DB00126	17	16	1	0	0
metharbital	DB00463	17	9	17	11	11
clomifene	DB00882	17	2	1	1	16
doxepin	DB01142	17	14	0	0	14
secobarbital	DB00418	16	10	9	11	3
quinidine	DB00908	16	6	0	7	9
trazodone	DB00656	16	6	9	3	15
eribulin	DB08871	16	2	1	15	9
carbamazepine	DB00564	16	4	9	7	6
l-proline	DB00172	16	15	2	0	1
felodipine	DB01023	16	10	7	4	7
procaine	DB00721	16	4	4	7	5
methoxyflurane	DB01028	16	6	12	11	11
oxiconazole	DB00239	16	1	2	0	13
lacosamide	DB06218	16	2	8	7	8
genistein	DB01645	16	12	6	0	0
theophylline	DB00277	16	12	9	9	6
maprotiline	DB00934	16	6	3	1	14
sulfasalazine	DB00795	16	9	9	3	6
adenosine monophosphate	DB00131	16	15	1	0	1
cabergoline	DB00248	16	16	12	1	12
droperidol	DB00450	16	2	5	4	13
