DOID	DrugBankID	Palliative/Treatment
DOID:363	DB00997	treatment
DOID:10763	DB00206	treatment
DOID:10763	DB00960	treatment
DOID:10283	DB00665	treatment
DOID:2998	DB00290	treatment
DOID:635	DB01232	treatment
DOID:1826	DB00555	treatment
DOID:2531	DB00444	treatment
DOID:4481	DB00860	treatment
DOID:2531	DB00635	treatment
DOID:4481	DB00985	treatment
DOID:10763	DB00808	treatment
DOID:10763	DB01244	treatment
DOID:2531	DB00888	treatment
DOID:3310	DB00591	treatment
DOID:1324	DB00530	treatment
DOID:9970	DB00191	treatment
DOID:8577	DB00620	treatment
DOID:3070	DB00853	treatment
DOID:1686	DB00654	treatment
DOID:10283	DB00783	treatment
DOID:4159	DB08881	treatment
DOID:9074	DB00563	treatment
DOID:4481	DB00741	treatment
DOID:1192	DB00773	treatment
DOID:418	DB00993	treatment
DOID:10763	DB01275	treatment
DOID:10534	DB01101	treatment
DOID:10763	DB00401	treatment
DOID:1324	DB00563	treatment
DOID:9352	DB00222	treatment
DOID:1909	DB00290	treatment
DOID:2531	DB01280	treatment
DOID:3310	DB00455	treatment
DOID:3083	DB00860	treatment
DOID:8577	DB00244	treatment
DOID:12365	DB00250	treatment
DOID:10763	DB01023	treatment
DOID:3310	DB01047	treatment
DOID:2841	DB00635	treatment
DOID:2531	DB00541	treatment
DOID:2531	DB00443	treatment
DOID:9008	DB01234	treatment
DOID:418	DB00688	treatment
DOID:9352	DB00491	treatment
DOID:2998	DB00570	treatment
DOID:1793	DB00441	treatment
DOID:6364	DB00661	treatment
DOID:12365	DB00205	treatment
DOID:7147	DB00959	treatment
DOID:10534	DB00544	treatment
DOID:1826	DB01068	treatment
DOID:263	DB01101	treatment
DOID:2394	DB00488	treatment
DOID:263	DB00970	treatment
DOID:3393	DB00177	treatment
DOID:184	DB00997	treatment
DOID:0050741	DB00215	treatment
DOID:13189	DB01394	treatment
DOID:1826	DB01320	treatment
DOID:2531	DB01181	treatment
DOID:1686	DB01057	treatment
DOID:9206	DB00338	treatment
DOID:8577	DB00993	treatment
DOID:9970	DB00501	treatment
DOID:2377	DB00563	treatment
DOID:2531	DB00860	treatment
DOID:8577	DB00795	treatment
DOID:4481	DB01075	treatment
DOID:2531	DB00261	treatment
DOID:9074	DB00091	treatment
DOID:12361	DB00763	treatment
DOID:3393	DB01098	treatment
DOID:418	DB01197	treatment
DOID:4045	DB00970	treatment
DOID:11476	DB00399	treatment
DOID:10763	DB01029	treatment
DOID:2531	DB00631	treatment
DOID:1686	DB00521	treatment
DOID:10763	DB01170	treatment
DOID:1612	DB00291	treatment
DOID:1324	DB00642	treatment
DOID:3393	DB00641	treatment
DOID:9744	DB00178	treatment
DOID:11476	DB00169	treatment
DOID:1612	DB01204	treatment
DOID:1024	DB01045	treatment
DOID:1612	DB01101	treatment
DOID:219	DB00544	treatment
DOID:10283	DB00635	treatment
DOID:1612	DB00563	treatment
DOID:2377	DB01204	treatment
DOID:1826	DB01202	treatment
