#CUI	Disease name	Drug name	DrugbankID
C0017601	glaucoma	epinephrine	DB00668
C0017601	glaucoma	dorzolamide	DB00869
C1261473	sarcoma	mitoxantrone	DB01204
C1261473	sarcoma	vincristine	DB00541
C1835047	melanoma, cutaneous malignant, 1	docetaxel	DB01248
C0025202	melanoma	docetaxel	DB01248
C0024117	chronic obstructive airway disease	montelukast	DB00471
C0024117	chronic obstructive airway disease	aminophylline	DB01223
C0024117	chronic obstructive airway disease	acetylcysteine	DB06151
C0011581	depressive disorder	imipramine	DB00458
C0011581	depressive disorder	aripiprazole	DB01238
C0011581	depressive disorder	citalopram	DB00215
C0011581	depressive disorder	valproic acid	DB00313
C0011581	depressive disorder	amitriptyline	DB00321
C0011581	depressive disorder	nefazodone	DB01149
C0011581	depressive disorder	sertraline	DB01104
C0011581	depressive disorder	paroxetine	DB00715
C0011581	depressive disorder	nortriptyline	DB00540
C0011581	depressive disorder	trazodone	DB00656
C0041696	unipolar depression	imipramine	DB00458
C0041696	unipolar depression	aripiprazole	DB01238
C0041696	unipolar depression	citalopram	DB00215
C0041696	unipolar depression	valproic acid	DB00313
C0041696	unipolar depression	amitriptyline	DB00321
C0041696	unipolar depression	nefazodone	DB01149
C0041696	unipolar depression	sertraline	DB01104
C0041696	unipolar depression	paroxetine	DB00715
C0041696	unipolar depression	nortriptyline	DB00540
C0041696	unipolar depression	trazodone	DB00656
C0085159	seasonal affective disorder	imipramine	DB00458
C0085159	seasonal affective disorder	aripiprazole	DB01238
C0085159	seasonal affective disorder	citalopram	DB00215
C0085159	seasonal affective disorder	valproic acid	DB00313
C0085159	seasonal affective disorder	amitriptyline	DB00321
C0085159	seasonal affective disorder	nefazodone	DB01149
C0085159	seasonal affective disorder	sertraline	DB01104
C0085159	seasonal affective disorder	paroxetine	DB00715
C0085159	seasonal affective disorder	nortriptyline	DB00540
C0085159	seasonal affective disorder	trazodone	DB00656
C1269683	major depressive disorder	imipramine	DB00458
C1269683	major depressive disorder	aripiprazole	DB01238
C1269683	major depressive disorder	citalopram	DB00215
C1269683	major depressive disorder	valproic acid	DB00313
C1269683	major depressive disorder	amitriptyline	DB00321
C1269683	major depressive disorder	nefazodone	DB01149
C1269683	major depressive disorder	sertraline	DB01104
C1269683	major depressive disorder	paroxetine	DB00715
C1269683	major depressive disorder	nortriptyline	DB00540
C1269683	major depressive disorder	trazodone	DB00656
C0006142	malignant neoplasm of breast	tamoxifen	DB00675
C0006142	malignant neoplasm of breast	ixabepilone	DB04845
C0006142	malignant neoplasm of breast	dexamethasone	DB01234
C0006142	malignant neoplasm of breast	gemcitabine	DB00441
C0006142	malignant neoplasm of breast	lapatinib	DB01259
C0006142	malignant neoplasm of breast	ethinyl estradiol	DB00977
C0006142	malignant neoplasm of breast	raloxifene	DB00481
C0006142	malignant neoplasm of breast	eribulin	DB08871
C0006142	malignant neoplasm of breast	paclitaxel	DB01229
C0006142	malignant neoplasm of breast	mitoxantrone	DB01204
C0006142	malignant neoplasm of breast	vinorelbine	DB00361
C0006142	malignant neoplasm of breast	docetaxel	DB01248
C0006142	malignant neoplasm of breast	estradiol	DB00783
C0006142	malignant neoplasm of breast	vinblastine	DB00570
C0006142	malignant neoplasm of breast	prochlorperazine	DB00433
C0678222	breast carcinoma	tamoxifen	DB00675
C0678222	breast carcinoma	ixabepilone	DB04845
C0678222	breast carcinoma	dexamethasone	DB01234
C0678222	breast carcinoma	gemcitabine	DB00441
C0678222	breast carcinoma	lapatinib	DB01259
C0678222	breast carcinoma	ethinyl estradiol	DB00977
C0678222	breast carcinoma	raloxifene	DB00481
C0678222	breast carcinoma	eribulin	DB08871
C0678222	breast carcinoma	paclitaxel	DB01229
C0678222	breast carcinoma	mitoxantrone	DB01204
C0678222	breast carcinoma	vinorelbine	DB00361
C0678222	breast carcinoma	docetaxel	DB01248
C0678222	breast carcinoma	estradiol	DB00783
C0678222	breast carcinoma	vinblastine	DB00570
C0678222	breast carcinoma	prochlorperazine	DB00433
C0024141	lupus erythematosus, systemic	gabapentin	DB00996
C0024141	lupus erythematosus, systemic	cyclosporine	DB00091
C0024141	lupus erythematosus, systemic	dexamethasone	DB01234
C0024141	lupus erythematosus, systemic	amitriptyline	DB00321
C0024141	lupus erythematosus, systemic	celecoxib	DB00482
C0024141	lupus erythematosus, systemic	pregabalin	DB00230
C0024141	lupus erythematosus, systemic	acetylsalicylic acid	DB00945
C1336708	testicular germ cell tumor	vinblastine	DB00570
C0029456	osteoporosis	raloxifene	DB00481
C0029456	osteoporosis	estradiol	DB00783
C0029456	osteoporosis	ethinyl estradiol	DB00977
C0003873	rheumatoid arthritis	indomethacin	DB00328
C0003873	rheumatoid arthritis	amitriptyline	DB00321
C0003873	rheumatoid arthritis	celecoxib	DB00482
C0003873	rheumatoid arthritis	lidocaine	DB00281
C0003873	rheumatoid arthritis	gabapentin	DB00996
C0003873	rheumatoid arthritis	dexamethasone	DB01234
C0003873	rheumatoid arthritis	cyclosporine	DB00091
C0003873	rheumatoid arthritis	acetylsalicylic acid	DB00945
C0003873	rheumatoid arthritis	diclofenac	DB00586
C0003873	rheumatoid arthritis	sulfasalazine	DB00795
C0004096	asthma	dexamethasone	DB01234
C0004096	asthma	pseudoephedrine	DB00852
C0004096	asthma	theophylline	DB00277
C0004096	asthma	ketotifen	DB00920
C0004096	asthma	epinephrine	DB00668
C0004096	asthma	montelukast	DB00471
C0004096	asthma	aminophylline	DB01223
C0040136	thyroid neoplasm	sorafenib	DB00398
C0040136	thyroid neoplasm	vandetanib	DB05294
C0033860	psoriasis	salicylic acid	DB00936
C0033860	psoriasis	dexamethasone	DB01234
C0033860	psoriasis	cyclosporine	DB00091
C0011854	diabetes mellitus, insulin-dependent	sildenafil	DB00203
C0007102	malignant tumor of colon	celecoxib	DB00482
C0007102	malignant tumor of colon	dexamethasone	DB01234
C0007102	malignant tumor of colon	vincristine	DB00541
C0152013	adenocarcinoma of lung (disorder)	paclitaxel	DB01229
C0152013	adenocarcinoma of lung (disorder)	gemcitabine	DB00441
C0152013	adenocarcinoma of lung (disorder)	erlotinib	DB00530
C0152013	adenocarcinoma of lung (disorder)	gefitinib	DB00317
C0152013	adenocarcinoma of lung (disorder)	vinorelbine	DB00361
C0152013	adenocarcinoma of lung (disorder)	docetaxel	DB01248
C0152013	adenocarcinoma of lung (disorder)	vinblastine	DB00570
C0152013	adenocarcinoma of lung (disorder)	crizotinib	DB08865
C0007120	bronchioloalveolar adenocarcinoma	paclitaxel	DB01229
C0007120	bronchioloalveolar adenocarcinoma	gemcitabine	DB00441
C0007120	bronchioloalveolar adenocarcinoma	erlotinib	DB00530
C0007120	bronchioloalveolar adenocarcinoma	gefitinib	DB00317
C0007120	bronchioloalveolar adenocarcinoma	vinorelbine	DB00361
C0007120	bronchioloalveolar adenocarcinoma	docetaxel	DB01248
C0007120	bronchioloalveolar adenocarcinoma	vinblastine	DB00570
C0007120	bronchioloalveolar adenocarcinoma	crizotinib	DB08865
C0011860	diabetes mellitus, non-insulin-dependent	metformin	DB00331
C0011860	diabetes mellitus, non-insulin-dependent	bromocriptine	DB01200
C0011860	diabetes mellitus, non-insulin-dependent	rosiglitazone	DB00412
C0030297	pancreatic neoplasm	tamoxifen	DB00675
C0030297	pancreatic neoplasm	gemcitabine	DB00441
C0030297	pancreatic neoplasm	erlotinib	DB00530
C0030297	pancreatic neoplasm	sunitinib	DB01268
C0030297	pancreatic neoplasm	docetaxel	DB01248
C0004509	azoospermia	clomifene	DB00882
C0010346	crohn disease	sulfasalazine	DB00795
C0010346	crohn disease	dexamethasone	DB01234
C0010346	crohn disease	mesalazine	DB00244
C0010346	crohn disease	nicotine	DB00184
C1510586	autism spectrum disorders	aripiprazole	DB01238
C1510586	autism spectrum disorders	clonazepam	DB01068
C1510586	autism spectrum disorders	quetiapine	DB01224
C1510586	autism spectrum disorders	risperidone	DB00734
C1510586	autism spectrum disorders	benzatropine	DB00245
C1510586	autism spectrum disorders	sertraline	DB01104
C0004352	autistic disorder	aripiprazole	DB01238
C0004352	autistic disorder	clonazepam	DB01068
C0004352	autistic disorder	quetiapine	DB01224
C0004352	autistic disorder	risperidone	DB00734
C0004352	autistic disorder	benzatropine	DB00245
C0004352	autistic disorder	sertraline	DB01104
C0002395	alzheimer's disease	galantamine	DB00674
C0002395	alzheimer's disease	quetiapine	DB01224
C0002395	alzheimer's disease	ropinirole	DB00268
C0002395	alzheimer's disease	benzatropine	DB00245
C0002395	alzheimer's disease	haloperidol	DB00502
C2239176	liver carcinoma	sorafenib	DB00398
C1263846	attention deficit hyperactivity disorder	imipramine	DB00458
C1263846	attention deficit hyperactivity disorder	desipramine	DB01151
C1263846	attention deficit hyperactivity disorder	methamphetamine	DB01577
C1263846	attention deficit hyperactivity disorder	nortriptyline	DB00540
C0010346	crohn disease	sulfasalazine	DB00795
C0010346	crohn disease	mesalazine	DB00244
C0014544	epilepsy	clonazepam	DB01068
C0014544	epilepsy	propofol	DB00818
C0014544	epilepsy	midazolam	DB00683
C0014544	epilepsy	gabapentin	DB00996
C0014544	epilepsy	carbamazepine	DB00564
C0014544	epilepsy	phenytoin	DB00252
C0014544	epilepsy	pregabalin	DB00230
C0014544	epilepsy	topiramate	DB00273
C0014544	epilepsy	phenobarbital	DB01174
C0014544	epilepsy	lacosamide	DB06218
C0014544	epilepsy	valproic acid	DB00313
C0014544	epilepsy	diazepam	DB00829
C0014544	epilepsy	zonisamide	DB00909
C0014544	epilepsy	primidone	DB00794
C0014544	epilepsy	clobazam	DB00349
