DiseaseName	DrugBankID	ZScore	AdjPvalue
myocardial.ischemia	DB00775	-3.195	1.4E-02
coronary.disease	DB00775	-3.061	1.7E-02
kidney.diseases	DB00678	-3.868	4.3E-03
diabetes.mellitus.type.2	DB00678	0.209	6.8E-01
leukemia.myeloid.acute	DB01169	-1.134	3.8E-01
leukemia	DB01169	-0.082	6.8E-01
alzheimer.disease	DB00674	-0.666	1.0E+00
breast.neoplasms	DB00675	-2.480	1.3E-01
diabetes.mellitus	DB00672	-4.285	3.6E-04
diabetes.mellitus.type.2	DB00672	-4.168	4.0E-04
blood.coagulation.disorders	DB01022	-4.632	7.1E-05
prostatic.neoplasms	DB00269	-0.535	7.1E-01
parkinson.disease	DB00810	0.840	1.0E+00
pancreatic.diseases	DB00522	0.782	9.9E-01
anemia	DB00126	0.897	8.4E-01
parkinson.disease	DB00387	0.302	8.1E-01
epilepsy	DB00819	-0.181	9.5E-01
anemia	DB00158	0.544	7.8E-01
breast.neoplasms	DB00380	-1.682	5.4E-01
liver.cirrhosis.biliary	DB01394	-1.118	1.0E+00
joint.diseases	DB00788	0.452	1.0E+00
arthritis	DB00788	0.365	1.0E+00
arthritis.rheumatoid	DB00788	0.170	1.0E+00
varicose.veins	DB00464	0.425	1.0E+00
prostatic.neoplasms	DB00783	-1.344	6.2E-01
breast.neoplasms	DB00783	-2.118	1.7E-01
arthritis.rheumatoid	DB01097	0.572	8.3E-01
macular.degeneration	DB04895	-2.591	8.7E-02
colitis.ulcerative	DB01014	0.434	9.9E-01
diabetes.mellitus	DB01016	-3.652	1.5E-03
diabetes.mellitus.type.2	DB01016	-4.130	2.9E-04
prostatic.neoplasms	DB00255	-1.339	4.2E-01
breast.neoplasms	DB00255	-1.878	2.9E-01
neoplasms	DB00541	0.362	9.7E-01
leukemia	DB00541	-0.163	9.7E-01
lymphoma	DB00541	-1.223	6.7E-01
sarcoma	DB00541	1.262	9.9E-01
lymphoma.non.hodgkin	DB00541	-1.239	6.7E-01
prostatic.neoplasms	DB00014	-0.094	7.1E-01
breast.neoplasms	DB00014	-0.093	7.1E-01
colitis.ulcerative	DB01250	-4.406	8.7E-05
diabetes.mellitus.type.2	DB01076	0.289	8.7E-01
coronary.disease	DB01076	-3.039	3.3E-02
cardiovascular.diseases	DB01076	-1.621	5.9E-01
coronary.artery.disease	DB01076	-3.060	3.3E-02
hypersensitivity	DB01075	-0.403	5.8E-01
arthritis.rheumatoid	DB00608	-0.645	9.7E-01
lymphoma	DB01073	0.109	9.3E-01
lymphoma.non.hodgkin	DB01073	0.035	9.3E-01
breast.neoplasms	DB00603	-3.354	3.1E-02
epilepsy	DB00949	-0.819	9.4E-01
hypopigmentation	DB00600	-4.485	2.8E-04
epilepsy	DB00829	-8.928	1.7E-17
arthritis	DB00605	1.739	9.9E-01
arthritis.rheumatoid	DB00605	1.247	9.9E-01
epilepsy	DB00273	-4.201	1.1E-03
asthma	DB00471	-1.257	4.2E-01
parkinson.disease	DB01367	0.539	9.8E-01
collagen.diseases	DB00860	0.342	8.2E-01
asthma	DB00860	-1.037	6.4E-01
hypersensitivity	DB00860	-1.008	6.4E-01
crohn.disease	DB00860	-0.581	6.4E-01
psoriasis	DB00860	1.195	9.1E-01
rheumatic.diseases	DB00860	-0.622	6.4E-01
lupus.erythematosus.systemic	DB00860	-0.715	6.4E-01
lymphoma	DB00860	-0.705	6.4E-01
colitis.ulcerative	DB00860	-1.207	6.4E-01
multiple.sclerosis	DB00860	-0.381	6.4E-01
lymphoma.non.hodgkin	DB00860	-0.720	6.4E-01
hematologic.diseases	DB00860	0.128	8.0E-01
skin.diseases	DB00860	0.026	7.8E-01
arthritis.rheumatoid	DB00860	-0.755	6.4E-01
diabetes.mellitus	DB01083	0.620	9.1E-01
diabetes.mellitus.type.2	DB01083	-0.024	9.1E-01
epilepsy	DB01080	-0.733	8.9E-01
asthma	DB01364	-0.952	6.2E-01
head.and.neck.neoplasms	DB01085	-0.754	1.0E+00
cardiovascular.diseases	DB00175	-1.480	7.1E-01
coronary.artery.disease	DB00175	-0.519	7.1E-01
asthma	DB01003	1.205	9.3E-01
asthma	DB01001	0.134	8.6E-01
breast.neoplasms	DB01006	0.369	8.8E-01
parkinsonian.disorders	DB00268	0.797	1.0E+00
parkinson.disease	DB00268	0.838	1.0E+00
head.and.neck.neoplasms	DB01005	-2.508	1.5E-01
psoriasis	DB01005	-2.562	1.5E-01
arrhythmias.cardiac	DB00571	-0.487	9.6E-01
heart.diseases	DB00571	-0.087	9.6E-01
head.and.neck.neoplasms	DB00570	1.344	9.8E-01
breast.neoplasms	DB00570	-1.644	4.0E-01
kidney.neoplasms	DB00570	1.572	9.8E-01
lymphoma	DB00570	-1.846	3.2E-01
asthma	DB00572	-0.291	9.4E-01
arteriosclerosis	DB01240	-0.652	9.2E-01
arrhythmias.cardiac	DB00308	-5.487	1.6E-06
diabetes.mellitus.type.2	DB06655	-0.097	8.1E-01
arrhythmias.cardiac	DB01064	-2.022	2.1E-01
asthma	DB01064	-0.535	6.9E-01
gastrointestinal.neoplasms	DB00619	-1.709	1.3E-01
neoplasms	DB00619	-4.856	4.7E-05
leukemia	DB00619	-4.489	1.4E-04
hyperinsulinism	DB01119	0.915	8.8E-01
bacterial.infections	DB00759	0.434	9.0E-01
lung.diseases	DB01222	-0.300	6.6E-01
breast.neoplasms	DB01101	0.226	7.6E-01
neoplasms	DB01101	-0.336	7.6E-01
arrhythmias.cardiac	DB00204	-4.530	2.3E-04
epilepsy	DB01068	-9.355	3.3E-19
hypersensitivity	DB01069	0.586	9.2E-01
diabetes.mellitus	DB00046	-2.478	7.5E-02
diabetes.mellitus.type.2	DB00046	-3.341	6.6E-03
diabetes.mellitus.type.1	DB00046	-1.644	2.6E-01
breast.neoplasms	DB00286	-2.988	2.8E-02
diabetes.mellitus	DB00284	-3.148	1.3E-02
diabetes.mellitus.type.2	DB00284	-1.687	2.8E-01
bone.diseases	DB00282	-2.083	7.4E-01
arrhythmias.cardiac	DB00281	-3.251	2.3E-02
arrhythmias.cardiac	DB00280	0.253	1.0E+00
skin.diseases	DB02300	-0.084	8.4E-01
epilepsy	DB00564	-0.479	7.3E-01
arrhythmias.cardiac	DB00680	-4.037	1.1E-03
breast.neoplasms	DB00563	-0.090	6.9E-01
crohn.disease	DB00563	0.089	6.9E-01
psoriasis	DB00563	-0.030	6.9E-01
leukemia	DB00563	0.436	7.1E-01
lymphoma	DB00563	-0.110	6.9E-01
arthritis.rheumatoid	DB00563	-0.084	6.9E-01
breast.neoplasms	DB00445	-0.984	7.7E-01
neoplasms	DB00445	0.711	8.6E-01
lymphoma	DB00445	-1.179	7.7E-01
leukemia.lymphoid	DB00444	-0.712	8.6E-01
malabsorption.syndromes	DB00162	3.846	1.0E+00
alzheimer.disease	DB00163	0.138	6.5E-01
anemia.hemolytic	DB00163	-0.997	2.8E-01
thyroid.diseases	DB00279	-2.775	1.4E-01
parkinsonian.disorders	DB00376	1.188	9.6E-01
parkinson.disease	DB00376	1.273	9.6E-01
anemia	DB00165	0.037	7.2E-01
blood.coagulation.disorders	DB00302	-1.922	3.6E-01
arrhythmias.cardiac	DB00379	-3.259	1.5E-02
crohn.disease	DB00169	-1.075	4.9E-01
psoriasis	DB00169	0.776	8.5E-01
cardiovascular.diseases	DB00169	-0.318	8.2E-01
asthma	DB01274	0.362	8.5E-01
asthma	DB01409	0.144	9.9E-01
asthma	DB00588	-2.772	1.1E-01
arthritis	DB01050	1.113	1.0E+00
arthritis.rheumatoid	DB01050	0.300	1.0E+00
arthritis	DB01611	-0.629	8.6E-01
lupus.erythematosus.systemic	DB01611	-0.753	8.6E-01
arthritis.rheumatoid	DB01611	-1.060	8.6E-01
arthritis	DB00749	1.334	1.0E+00
arthritis.rheumatoid	DB00749	0.787	1.0E+00
liver.cirrhosis	DB00214	-1.013	8.8E-01
dementia	DB00215	-0.956	8.1E-01
asthma	DB00744	-0.105	7.0E-01
vascular.diseases	DB01113	0.932	1.0E+00
arterial.occlusive.diseases	DB01113	0.042	1.0E+00
kidney.diseases	DB00584	-4.321	2.0E-04
motor.neuron.disease	DB00740	-0.648	9.1E-01
amyotrophic.lateral.sclerosis	DB00740	-0.942	9.1E-01
asthma	DB00741	-0.153	9.0E-01
insulin.resistance	DB00741	0.661	9.0E-01
endocrine.system.diseases	DB00741	3.279	1.0E+00
psoriasis	DB00741	0.182	9.0E-01
arthritis	DB00741	-0.852	9.0E-01
colitis.ulcerative	DB00741	-0.428	9.0E-01
skin.diseases	DB00741	0.093	9.0E-01
arthritis.rheumatoid	DB00741	0.156	9.0E-01
neoplasms	DB00290	-0.444	8.8E-01
lymphoma	DB00290	0.161	8.8E-01
sarcoma	DB00290	0.068	8.8E-01
lymphoma.non.hodgkin	DB00290	0.163	8.8E-01
joint.diseases	DB00586	-1.572	7.8E-01
keratosis	DB00586	0.517	9.9E-01
arthritis	DB00586	-1.479	7.8E-01
arthritis.rheumatoid	DB00586	-1.346	7.8E-01
arrhythmias.cardiac	DB04855	-6.509	3.0E-09
myocardial.ischemia	DB00006	0.220	8.8E-01
myocardial.ischemia	DB00063	-2.124	2.1E-01
coronary.disease	DB00063	-2.212	2.1E-01
prostatic.neoplasms	DB01216	3.595	1.0E+00
arrhythmias.cardiac	DB01182	-5.760	3.3E-07
dementia	DB00843	-1.825	2.5E-01
alzheimer.disease	DB00843	-1.928	2.5E-01
arthritis	DB01009	0.404	1.0E+00
arthritis.rheumatoid	DB01009	1.511	1.0E+00
leukemia.myeloid.acute	DB00694	-1.608	5.6E-01
leukemia	DB00694	-0.739	7.7E-01
kidney.diseases	DB00695	-5.901	1.4E-07
liver.cirrhosis	DB00695	-1.013	8.8E-01
breast.neoplasms	DB01185	-1.783	2.1E-01
multiple.sclerosis	DB00697	-0.492	5.5E-01
neuroendocrine.tumors	DB01268	0.301	7.4E-01
neoplasms	DB01268	-5.494	5.2E-07
breast.neoplasms	DB00361	-0.608	9.2E-01
lymphoma	DB00262	-0.143	1.0E+00
lymphoma.non.hodgkin	DB00262	-0.137	1.0E+00
lymphoma	DB06809	-2.302	8.4E-02
lymphoma.non.hodgkin	DB06809	-2.178	1.1E-01
parkinsonian.disorders	DB00190	-2.440	8.3E-02
parkinson.disease	DB00190	-2.466	8.3E-02
bone.diseases	DB00136	-2.596	9.3E-02
asthma	DB00221	-0.109	7.5E-01
skin.diseases	DB01047	-0.039	7.9E-01
diabetes.mellitus	DB00731	-2.162	3.0E-01
diabetes.mellitus.type.2	DB00731	-2.729	8.4E-02
diabetes.mellitus.type.2	DB00222	-5.092	3.5E-06
epilepsy	DB06201	-0.460	7.4E-01
alzheimer.disease	DB01043	-0.692	6.9E-01
coronary.disease	DB00227	-1.168	6.8E-01
