BIANA ID	UniProt ID	genesymbol	description	geneid	Equivalent Entries
256907	Q5VYV0	FOXB2	Forkhead box protein B2	442425	KEGG::442425
256904	Q99853	FOXB1	Forkhead box protein B1	27023	O60652; O75917; Q14CL2; KEGG::27023
256909	Q12948	FOXC1	Forkhead box protein C1	2296	Q9BYM1; Q9NUE5; Q86UP7; Q9UDD0; Q9UP06; KEGG::2296
410347	A4D2B8	PMS2P1	Putative postmeiotic segregation increased 2-like protein 1	-	Q16530; Q13400; Q0VGD2; Q6NVZ2; Q7KZ90
410348	O95744	PMS2P2	Putative postmeiotic segregation increased 2-like protein 2	-	-
410349	Q13401	PMS2P3	Putative postmeiotic segregation increased 2-like protein 3	-	Q3MJ29; A6NG70
2656217	P51798	-	-	-	B3KVJ8; E9PDB9; Q9BRN4; B3KXZ3
323055	P01605	-	Ig kappa chain V-I region Lay	-	-
323059	P01609	-	Ig kappa chain V-I region Scw	-	-
323058	P01608	-	Ig kappa chain V-I region Roy	-	-
63023	Q9NUB4	C20orf141	Uncharacterized protein C20orf141	128653	B2R5K4; KEGG::128653
53733	Q8N1M1	BEST3	Bestrophin-3	144453	Q8NFT9; Q9BR80; Q53YQ7; Q8N356; B5MDI8; KEGG::144453
53736	O15155	BET1	BET1 homolog	10282	Q53XK0; O15155,Q5; KEGG::10282
49567	Q96BI3	APH1A	Gamma-secretase subunit APH-1A	51107	Q969R6; B4DQK0; Q9Y386; Q5TB22; Q5TB23; Q9BVG0; B4DUG7; Q96BI3,Q5; KEGG::51107
250995	Q96JP0	FEM1C	Protein fem-1 homolog C	56929	Q9NPL6; B2RE47; Q9NPL9; Q8N3V8; Q9H704; KEGG::56929
398667	Q9Y5G9	PCDHGA4	Protocadherin gamma-A4	56111	Q9Y5D3; KEGG::56111
46866	Q59ES3; Q15758	SLC1A5	Neutral amino acid transporter B(0)	6510	B4DR77; B4DWS4; Q96RL9; Q59ES3,Q1; Q9UNP2; O95720; A8K9H5; E9PC01; D0EYG6; Q9BWQ3; KEGG::6510
398669	Q9Y5G8	PCDHGA5	Protocadherin gamma-A5	56110	Q9Y5D2; Q2M3F5; KEGG::56110
390136	Q01968	OCRL	Inositol polyphosphate 5-phosphatase OCRL-1	4952	Q9UJG5; A8KAP2; Q15774; Q4VY10; Q15684; Q5JQF1; B7ZLX2; A6NKI1; O60800; Q5JQF2; Q9UMA5; Q4VY09; KEGG::4952
246728	P0C7Q3	FAM58BP	Putative cyclin-related protein FAM58B	339521	KEGG::339521
559849	Q99594	TEAD3	Transcriptional enhancer factor TEF-5	7005	Q5BJG7; O95910; Q8N6Y4; KEGG::7005
92244	Q9BXS6	NUSAP1	Nucleolar and spindle-associated protein 1	51203	Q9NZ85; Q9UI70; Q53GW2; B4DDF1; Q96FJ1; J3KN21; E7ERR5; Q96E58; Q8TBT4; Q9GZM9; KEGG::51203
559847	Q15562	TEAD2	Transcriptional enhancer factor TEF-4	8463	Q8NA25; B4DTJ6; Q96IG3; KEGG::8463
2737582	Q9H1R6	BCL2L1	-	-	-
533393	P46721	SLCO1A2	Solute carrier organic anion transporter family member 1A2	6579	Q9UL38; Q9UGP7; KEGG::6579
379102	A8MZ50	-	Putative NPIP-like protein ENSP00000381263	-	-
2736231	Q96F93	ZNF101	-	-	-
379101	A6NF02	-	NPIP-like protein LOC730153	-	-
56577	Q8NHW4; P13236	CCL4; CCL4L1; CCL4L2	C-C motif chemokine 4-like; C-C motif chemokine 4; MIP-1-beta(3-69)	6351; 9560; 388372; 101060278	B2RUZ3; Q6NSB0; Q50EM6; Q13704; Q569J2; Q6FGI8; Q50EM8; Q3SXL8; B7ZMA8; Q50EM2; Q50EM3; Q50EM1; P22617; Q50EM7; Q50EM4; Q50EM5; KEGG::6351; KEGG::101060278; KEGG::388372; KEGG::9560
416164	Q2TBC4	PRICKLE4	Prickle-like protein 4	29964	Q5T3D4; Q9NSV1; A2A3M0; B3KQ15; A6PVU1; KEGG::29964
416162	O43900	PRICKLE3	Prickle-like protein 3	4007	O76007; Q53XR5; KEGG::4007
416161	Q7Z3G6	PRICKLE2	Prickle-like protein 2	166336	Q0VF44; KEGG::166336
